Key,English,French,japanese
MechFactionSchematic,"Master of disguse","Maitre de l'écoeurement","変装の名人"
VaultDwellersFactionSchematic,"Master of disguse","Maitre de l'écoeurement","変装の名人"
RedteamFactionSchematic,"Master of disguse","Maitre de l'écoeurement","変装の名人"
BlueteamFactionSchematic,"Master of disguse","Maitre de l'écoeurement","変装の名人"
GreenteamFactionSchematic,"Master of disguse","Maitre de l'écoeurement","変装の名人"
MechFactionSchematicDesc,"Read this to switch over to the bandit faction!","Lisez ceci pour basculer dans la faction des Mech!","派閥変更・メカ"
VaultDwellersFactionSchematicDesc,"Read this to switch over to the undead faction!","Lisez ceci pour basculer dans la faction des VaultDwellers!","派閥変更・ボルト住人"
RedteamFactionSchematicDesc,"Read this to switch over to the Red team!","Lisez ceci pour basculer dans la faction Redteam!","チーム変更・赤"
BlueteamFactionSchematicDesc,"Read this to switch over to the Blue team!","Lisez ceci pour basculer dans la faction Blue team!","チーム変更・青"
GreenteamFactionSchematicDesc,"Read this to switch over to the Green Team!","Lisez ceci pour basculer dans la faction Green Team!","チーム変更・緑"
MechPositiveFactionSchematic,"Peace and Love to the Mechs","","ピース&ラブ・メカ"
MechPositiveFactionSchematicDesc,"Read this to spread the message of the mechs! Increase your standings with the mechs!","","メカの考えを拡散します。\n\nメカの信頼を得ます。"
MechNegativeFactionSchematic,"Mechs: Unreliable! Untrustworthy!","","メカ: 頼りにならない！信用できない！"
MechNegativeFactionSchematicDesc,"Read this to spread lies and fake news about the mechs! Decrease your standings with the mechs!","","メカのデマや悪い噂を拡散します。\n\nメカの信頼を失います。"
VaultPositiveFactionSchematic,"Peace and Love to the Vault","","ピース&ラブ・ボルト"
VaultPositiveFactionSchematicDesc,"Read this to spread the message of the vault! Increase your standings with the vault!","","ボルトの考えを拡散します。\n\nボルトの信頼を得ます。"
VaultNegativeFactionSchematic,"The Vault: Unreliable! Untrustworthy!","","ボルト: 頼りにならない！信用できない！"
VaultNegativeFactionSchematicDesc,"Read this to spread lies and fake news about the vault! Decrease your standings with the vault!","","ボルトのデマや悪い噂を拡散します。\n\nボルトの信頼を失います。"
RedteamPositiveFactionSchematic,"Peace and Love to the Redteam","","ピース&ラブ・赤チーム"
RedteamPositiveFactionSchematicDesc,"Read this to spread the message of the Redteam! Increase your standings with the Redteam!","","赤チームの考えを拡散します。\n\n赤チームの信頼を得ます。"
RedteamNegativeFactionSchematic,"The Redteam: Unreliable! Untrustworthy!","","赤チーム: 頼りにならない！信用できない！"
